Origin Country,Destination Country,HS Code,HTS / Regional Tariff Flag,Product Category,Product Description,Package Type & Weight Range,Mode of Transport,Required Documents
Singapore,UAE,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Australia,South Africa,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
UAE,Australia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Japan,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Canada,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Brazil,Canada,850440,Yes,Electronics,AC/DC power adapters,Pallets (200–800 kg),Rail, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
UAE,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Road, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Japan,India,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
South Africa,India,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Sea, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
France,Japan,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
Indonesia,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Packing List
France,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Mexico,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
UAE,Indonesia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Germany,Brazil,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
United States,Australia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Indonesia,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Air, Commercial Invoice; Packing List
France,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
United Kingdom,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Packing List
Singapore,Mexico,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
India,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Brazil,Canada,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
United States,South Africa,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Canada,France,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Canada,Australia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Air, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
United Kingdom,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Indonesia,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Australia,China,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Germany,Australia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Sea, Commercial Invoice; Packing List
United States,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Canada,France,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
China,Indonesia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Japan,Mexico,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Air, Commercial Invoice; Packing List
United Kingdom,Canada,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Mexico,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Japan,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
South Africa,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Air, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
UAE,Mexico,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
Japan,Mexico,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United States,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Indonesia,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Air, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
France,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Australia,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
China,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Japan,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List
Canada,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
UAE,Australia,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Road, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
South Africa,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Sea, Commercial Invoice; Packing List
South Africa,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Road, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
South Africa,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Road, Commercial Invoice; Packing List; Type Approval Certificate
India,Japan,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Brazil,Singapore,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
South Africa,Singapore,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
France,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Brazil,South Africa,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Rail, Commercial Invoice; Packing List
Canada,France,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
South Africa,UAE,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Singapore,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
UAE,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Australia,Brazil,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Mexico,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Singapore,China,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Road, Commercial Invoice; Packing List
United States,France,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Rail, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
United States,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Mexico,United Kingdom,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Japan,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
China,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
UAE,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Australia,India,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; Import Export Code (IEC); Insurance Certificate; MSDS; Packing List
Brazil,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Japan,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
United States,Australia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
UAE,South Africa,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Canada,Germany,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
France,Australia,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Singapore,UAE,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Indonesia,China,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Singapore,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Canada,Mexico,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
United States,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Sea, Commercial Invoice; Packing List; Type Approval Certificate
United States,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Air, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Australia,Singapore,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Canada,China,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
France,Mexico,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Japan,Germany,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Road, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Indonesia,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Singapore,United Kingdom,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
India,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Canada,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Brazil,China,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Japan,United States,870323,Yes,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
China,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List
Japan,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Air, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
India,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Canada,China,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
India,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
United States,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
China,United States,850440,Yes,Electronics,AC/DC power adapters,Pallets (200–800 kg),Rail, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
United Kingdom,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
India,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
United States,France,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea,BIS Compliance;  CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
Brazil,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Singapore,China,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
UAE,Mexico,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
China,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
China,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
India,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
South Africa,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
Germany,Australia,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
United Kingdom,Singapore,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
Japan,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,China,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
China,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
France,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Australia,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
South Africa,Canada,901890,Yes,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Australia,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
South Africa,Indonesia,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Road, Commercial Invoice; Packing List
Brazil,Australia,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
Canada,Australia,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Mexico,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Mexico,Canada,620342,Yes,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Packing List
Japan,United Kingdom,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Singapore,France,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
Singapore,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
India,France,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
Indonesia,Brazil,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
UAE,China,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Mexico,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
France,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
United States,Mexico,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Indonesia,India,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Import Export Code (IEC); Packing List
United Kingdom,Germany,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Air, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
Canada,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
South Africa,China,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
South Africa,Australia,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
China,Singapore,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
United Kingdom,Indonesia,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Canada,China,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Canada,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
France,South Africa,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, Commercial Invoice; Packing List
South Africa,Mexico,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Brazil,India,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Import Export Code (IEC); Packing List
Japan,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Indonesia,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Air, Commercial Invoice; Packing List
Brazil,Mexico,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Germany,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
India,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
South Africa,China,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
Brazil,India,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Import Export Code (IEC); Packing List
Brazil,UAE,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Sea, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
India,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Germany,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
